actor/entropy,actor/kl,actor/loss,actor/std,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
8.3053055,-5.424954e-09,-0.048867732,0.6833476,2.0019572,70.64744,3.0840106,0.08592184,-3.1794977,5000,0.7549737,1000,1000.0,1000,5,0.0,745.674167342484,713.5564220294357,676.7772756405175,5,24.757829316157345,3.5252914,0.067525774,-3.3686318,20000,0.74820465,1000,1000.0,1000,20,0.0,768.7788910147501,703.1077873395918,638.2613357443806,20,34.21409010266413,906.0,62.64230942726135,20000.0,41.0,2577.0524735450745,820000.0,319.2730310050827,820000.0
8.300644,2.4843029e-08,-0.051146913,0.6829507,1.6498001,69.81878,2.991733,0.087043315,-2.695856,5000,0.73940015,1000,1000.0,1000,5,0.0,709.3781923514325,692.5779217451112,672.9146466096863,5,14.201238848476528,3.317418,0.06499839,-3.2667482,20000,0.7486764,1000,1000.0,1000,20,0.0,721.2515294887125,684.211160793071,629.6194988116622,20,28.083448415188165,926.0,62.81941366195679,20000.0,42.0,2639.9216005802155,840000.0,318.3729174491154,840000.0
8.296743,-4.8748916e-08,-0.030305464,0.6826185,1.8023827,69.94175,3.264737,0.06735498,-3.2614858,5000,0.7542643,1000,1000.0,1000,5,0.0,750.4563962835819,691.915347830765,634.1798357069492,5,40.13102906009712,3.3174732,0.0542582,-3.3234317,20000,0.7444569,1000,1000.0,1000,20,0.0,779.0150283798575,706.4286398209654,647.8309880942106,20,37.40776481859205,946.0,62.48656177520752,20000.0,43.0,2702.457659959793,860000.0,320.06881850771475,860000.0
8.293137,-2.544839e-08,-0.05543934,0.68231124,1.6670752,70.50828,3.21924,0.045395773,-2.9139373,5000,0.738206,1000,1000.0,1000,5,0.0,807.8428574129939,706.1359177389444,623.2634240781335,5,61.085347065128104,3.8312771,0.071610674,-3.192975,20000,0.7539754,1000,1000.0,1000,20,0.0,759.1868916749954,709.8027529365442,626.3338658288121,20,35.21128972355294,966.0,63.16602110862732,20000.0,44.0,2765.672778606415,880000.0,316.62592718331547,880000.0
8.289022,-1.7834827e-08,-0.016455745,0.68196106,1.9919337,71.038345,3.0927422,0.09128834,-3.152441,5000,0.75366277,1000,1000.0,1000,5,0.0,757.3751812502742,712.2201245039702,671.6001882553101,5,30.915732714131565,3.2669663,0.062019527,-3.0710833,20000,0.7494494,1000,1000.0,1000,20,0.0,773.7009490719065,709.742726124858,641.1432688962668,20,30.24587333960592,986.0,62.604032039642334,20000.0,45.0,2828.3259539604187,900000.0,319.46824107647785,900000.0
8.285826,-5.9930606e-08,-0.068040684,0.68168956,1.3931634,71.29996,2.9911575,0.05132968,-3.3517487,5000,0.7434336,1000,1000.0,1000,5,0.0,778.6344761159271,746.1650880621746,715.6252815229818,5,24.983491548107025,3.1503966,0.054294158,-3.6949778,20000,0.75311005,1000,1000.0,1000,20,0.0,768.7421693876386,713.4676192769315,615.0625478359871,20,36.94321734529234,1006.0,62.96155261993408,20000.0,46.0,2891.3473970890045,920000.0,317.6541741390897,920000.0
8.282002,1.3574026e-08,-0.017193109,0.6813642,1.482649,73.16626,3.0544357,0.08153636,-2.84122,5000,0.7569725,1000,1000.0,1000,5,0.0,750.7254239171743,716.8232291903347,666.7166950087994,5,29.23190885323186,3.6295497,0.06421898,-3.125107,20000,0.7486968,1000,1000.0,1000,20,0.0,804.2070996016264,734.0193269116804,683.8775201989338,20,30.398055196037745,1026.0,62.915579319000244,20000.0,47.0,2954.3131811618805,940000.0,317.8862885231366,940000.0
8.278578,8.731149e-09,-0.056714732,0.68107307,1.4310461,72.23962,3.0844376,0.05738352,-3.230301,5000,0.7572432,1000,1000.0,1000,5,0.0,798.2918211715296,738.3266329381964,698.4234674993786,5,36.61129066156404,3.553975,0.049347367,-3.5726657,20000,0.7440953,1000,1000.0,1000,20,0.0,767.4492036774755,715.2165684610314,637.8250751718879,20,31.047454105036866,1046.0,62.73172068595886,20000.0,48.0,3017.094256877899,960000.0,318.8179724914921,960000.0
8.274595,-8.0792235e-09,-0.07291767,0.6807344,1.4004397,74.1122,3.310833,0.0479174,-2.8495102,5000,0.7435771,1000,1000.0,1000,5,0.0,787.8524052537978,745.2961830180138,728.6355447173119,5,21.610168387652486,3.5166025,0.04733808,-3.0671656,20000,0.7482185,1000,1000.0,1000,20,0.0,797.8388789445162,743.6674798690583,685.0735901743174,20,28.866847345116074,1066.0,63.146597146987915,20000.0,49.0,3080.289680480957,980000.0,316.7233216612686,980000.0
8.269556,-3.0267984e-08,-0.093249105,0.6803057,1.4387115,74.02997,3.3067384,0.0598232,-2.9008882,5000,0.7546669,1000,1000.0,1000,5,0.0,773.2006465587765,725.6474978778512,665.2994228075258,5,36.22425812409509,3.3873158,0.051926624,-3.54081,20000,0.74801034,1000,1000.0,1000,20,0.0,799.5304107964039,735.8769297269697,677.186128701549,20,30.3313555564301,1086.0,62.88050365447998,20000.0,50.0,3143.2212314605713,1000000.0,318.0636101437314,1000000.0
